,cocktail_name,alcoholic,image_url,glass_type,recipe,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15
189,Champagne Cocktail,True,http://www.thecocktaildb.com/images/media/drink/ehh5df1504366811.jpg,Champagne flute,Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.,Champagne,Sugar,Bitters,Lemon peel,Cognac,,,,,,,,,,,Chilled ,1 piece ,2 dashes ,1 twist of ,1 dash, , , , ,,,,,,
190,Cherry Electric Lemonade,False,http://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg,Pint glass,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,
191,Cherry Rum,True,http://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Light rum,Cherry brandy,Light cream,,,,,,,,,,,,,1 1/4 oz ,1 1/2 tsp ,1 tblsp , , , , , ,,,,,,,
192,Chicago Fizz,True,http://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Light rum,Port,Lemon,Powdered sugar,Egg white,Carbonated water,,,,,,,,,,1 oz ,1 oz ,Juice of 1/2 ,1 tsp ,1 ,"
","
","
","
","
","
",,,,
193,Chocolate Beverage,False,http://www.thecocktaildb.com/images/media/drink/jbqrhv1487603186.jpg,Coffee mug,"Boil milk in the top of a deep double boiler five minutes. Remove from fire and add chocolate, mixed with the cinnamon, a little at a time, beating with molinillo or egg beater after each addition. When the chocolate is thoroughly blended, heat to the boiling point. Place over bottom of double boiler and add eggs, whipping constantly, until they are thoroughly blended and the mixture is frothing. Serve in coffee mug. Serves eight.",Milk,Chocolate,Cinnamon,Egg,,,,,,,,,,,,6 cups ,3 oz Mexican ,1 tsp powdered ,3 , , , , , ,,,,,,
194,Chocolate Black Russian,True,http://www.thecocktaildb.com/images/media/drink/yyvywx1472720879.jpg,Champagne flute,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.,Kahlua,Vodka,Chocolate ice-cream,,,,,,,,,,,,,1 oz ,1/2 oz ,5 oz , , , , , ,,,,,,,
195,Chocolate Drink,False,http://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg,Coffee mug,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.",Chocolate,Milk,Water,,,,,,,,,,,,,125 gr,3/4 L ,,,,,,,,,,,,,
196,Chocolate Milk,True,http://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,Shot Glass,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!",Chocolate liqueur,Milk,Amaretto,,,,,,,,,,,,,1/2 shot ,1/2 shot ,1 dash , , , , , ,,,,,,,
197,Chocolate Monkey,False,http://www.thecocktaildb.com/images/media/drink/tyvpxt1468875212.jpg,Parfait glass,"blend liqeuors with ice-cream, milk and syrup. pour into parfait glass, top with whipped cream and garnish with banana and cherry.",Banana liqueur,Creme de Cacao,Chocolate ice-cream,Chocolate syrup,Chocolate milk,Whipped cream,Cherry,Banana,,,,,,,,1 shot ,2 shots ,2 scoops ,1 oz ,4 oz ,1 ,1 ,1 piece , , , , , ,,
198,Citrus Coke,True,http://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,Highball Glass,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,Bacardi Limon,Coca-Cola,,,,,,,,,,,,,,1 part ,2 parts , , , , , ,,,,,,,,
199,City Slicker,True,http://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Brandy,Triple sec,Lemon juice,,,,,,,,,,,,,2 oz ,1/2 oz ,1 tblsp , , , , , ,,,,,,,
200,Classic Old-Fashioned,True,http://www.thecocktaildb.com/images/media/drink/anhof61504366173.jpg,Old-fashioned glass,"In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the bourbon. Garnish with the orange slice and the cherry. Serve with a swizzle stick.",Bitters,Water,Sugar,Bourbon,Orange,Maraschino cherry,,,,,,,,,,3 dashes ,1 tsp ,1 ,3 oz ,1 ,1 , , , , , ,,,,
201,Clove Cocktail,True,http://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Sweet Vermouth,Sloe gin,Wine,,,,,,,,,,,,,1 oz ,1/2 oz ,1/2 oz Muscatel , , , , , ,,,,,,,
202,Clover Club,True,http://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg,Cocktail glass,"Dry shake ingredients to emulsify, add ice, shake and served straight up.",Gin,Grenadine,Lemon,Egg white,,,,,,,,,,,,1 1/2 oz ,2 tsp ,Juice of 1/2 ,1 , , , , , ,,,,,,
203,Coffee Liqueur,True,http://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg,Collins Glass,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",Coffee,Vanilla extract,Sugar,Vodka,Water,,,,,,,,,,,10 tblsp instant ,4 tblsp ,2 1/2 cups ,1 qt ,2 1/2 cups , , , , , ,,,,,
