,cocktail_name,alcoholic,image_url,glass_type,recipe,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15
409,Planter's Punch,True,http://www.thecocktaildb.com/images/media/drink/yvos231504351384.jpg,Collins glass,"Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.",Dark rum,Orgeat syrup,Orange juice,Pineapple juice,,,,,,,,,,,,1 part ,1/2 part ,2 parts ,1 part , , , , , ,,,,,,
410,Popped cherry,True,http://www.thecocktaildb.com/images/media/drink/sxvrwv1473344825.jpg,Highball glass,Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!,Vodka,Cherry liqueur,Cranberry juice,Orange juice,,,,,,,,,,,,2 oz ,2 oz ,4 oz ,4 oz , , , , , ,,,,,,
411,Poppy Cocktail,True,http://www.thecocktaildb.com/images/media/drink/cslw1w1504389915.jpg,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Gin,Creme de Cacao,,,,,,,,,,,,,,1 1/2 oz ,3/4 oz white , , , , , ,,,,,,,,
412,Port And Starboard,True,http://www.thecocktaildb.com/images/media/drink/wxvupx1441553911.jpg,Pousse cafe glass,"Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing.",Grenadine,Green Creme de Menthe,,,,,,,,,,,,,,1 tblsp ,1/2 oz , , , , , ,,,,,,,,
413,Port Wine Cocktail,True,http://www.thecocktaildb.com/images/media/drink/qruprq1441553976.jpg,Cocktail glass,"Stir ingredients with ice, strain into a cocktail glass, and serve.",Port,Brandy,,,,,,,,,,,,,,2 1/2 oz ,1/2 tsp , , , , , ,,,,,,,,
414,Port Wine Flip,True,http://www.thecocktaildb.com/images/media/drink/vrprxu1441553844.jpg,Whiskey sour glass,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,Port,Light cream,Powdered sugar,Egg,Nutmeg,,,,,,,,,,,1 1/2 oz ,2 tsp ,1 tsp ,1 whole ,"
","
","
","
","
","
",,,,,
415,Porto flip,True,http://www.thecocktaildb.com/images/media/drink/64x5j41504351518.jpg,Cocktail glass,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.",Brandy,Port,Egg Yolk,,,,,,,,,,,,,3 parts,9 parts,2 parts, , , , , ,,,,,,,
416,Pysch Vitamin Light,False,http://www.thecocktaildb.com/images/media/drink/xsqsxw1441553580.jpg,Collins Glass,Shake with ice.,Orange juice,Apple juice,Pineapple juice,Ice,,,,,,,,,,,,1 part ,1 part ,1 part ,"
","
","
","
","
","
",,,,,,
417,Quaker's Cocktail,True,http://www.thecocktaildb.com/images/media/drink/yrqppx1478962314.jpg,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Light rum,Brandy,Lemon,Raspberry syrup,,,,,,,,,,,,3/4 oz ,3/4 oz ,Juice of 1/4 ,2 tsp , , , , , ,,,,,,
418,Quarter Deck Cocktail,True,http://www.thecocktaildb.com/images/media/drink/qrwvps1478963017.jpg,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Light rum,Sherry,Lime,,,,,,,,,,,,,1 1/2 ,1/3 oz cream ,Juice of 1/2 , , , , , ,,,,,,,
419,Queen Bee,True,http://www.thecocktaildb.com/images/media/drink/rvvpxu1478963194.jpg,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Coffee brandy,Lime vodka,Sherry,,,,,,,,,,,,,1 oz ,1 1/2 oz ,1/2 oz cream , , , , , ,,,,,,,
420,Queen Charlotte,True,http://www.thecocktaildb.com/images/media/drink/vqruyt1478963249.jpg,Collins glass,"Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve.",Red wine,Grenadine,Lemon-lime soda,,,,,,,,,,,,,2 oz ,1 oz ,"
","
","
","
","
","
",,,,,,,
421,Queen Elizabeth,True,http://www.thecocktaildb.com/images/media/drink/vpqspv1478963339.jpg,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Dry Vermouth,Gin,Benedictine,,,,,,,,,,,,,1/2 oz ,1 1/2 oz ,1 1/2 tsp , , , , , ,,,,,,,
422,Quentin,True,http://www.thecocktaildb.com/images/media/drink/spxtqp1478963398.jpg,Cocktail glass,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.",Dark rum,Kahlua,Light cream,Nutmeg,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1 oz ,1/8 tsp grated , , , , , ,,,,,,
423,Quick F**K,True,http://www.thecocktaildb.com/images/media/drink/wvtwpp1478963454.jpg,Shot glass,"In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream",Kahlua,Midori melon liqueur,Bailey's irish cream,,,,,,,,,,,,,1 part ,1 part ,1 part , , , , , ,,,,,,,
424,Quick-sand,True,http://www.thecocktaildb.com/images/media/drink/vprxqv1478963533.jpg,Highball glass,"Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!",Black Sambuca,Orange juice,,,,,,,,,,,,,,25 ml ,Add 250 ml , , , , , ,,,,,,,,
425,Radioactive Long Island Iced Tea,True,http://www.thecocktaildb.com/images/media/drink/rdvqmh1503563512.jpg,Collins Glass,Pour all ingredients over ice in a very tall glass. Sip cautiously.,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz , , , , , ,,
426,Radler,True,http://www.thecocktaildb.com/images/media/drink/xz8igv1504888995.jpg,Highball glass,"Pour beer into large mug, slowly add the 7-up (or Sprite).",Beer,7-Up,,,,,,,,,,,,,,12 oz ,12 oz , , , , , ,,,,,,,,
427,Rail Splitter,False,http://www.thecocktaildb.com/images/media/drink/stsuqq1441207660.jpg,Highball glass,Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.,Sugar syrup,Lemon juice,Ginger ale,,,,,,,,,,,,,2 tsp ,"
", , , , , ,,,,,,,,
428,Raspberry Cooler,True,http://www.thecocktaildb.com/images/media/drink/suqyyx1441254346.jpg,Highball glass,Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.,Raspberry vodka,Lemon-lime soda,Ice,,,,,,,,,,,,,2 oz ,4 oz ,"
","
","
","
","
","
",,,,,,,
429,Red Snapper,True,http://www.thecocktaildb.com/images/media/drink/7p607y1504735343.jpg,Old-fashioned glass,"One shot each, shake n shoot",Crown Royal,Amaretto,Cranberry juice,,,,,,,,,,,,,1 shot ,1 shot ,1 shot , , , , , ,,,,,,,
430,Rose,True,http://www.thecocktaildb.com/images/media/drink/8kxbvq1504371462.jpg,Cocktail glass,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.",Dry Vermouth,Gin,Apricot brandy,Lemon juice,Grenadine,Powdered sugar,,,,,,,,,,1/2 oz ,1 oz ,1/2 oz ,1/2 tsp ,1 tsp ,,,,,,,,,,
431,Royal Bitch,True,http://www.thecocktaildb.com/images/media/drink/qupuyr1441210090.jpg,Shot glass,Into a shot glass layer the Crown Royal on top of the Frangelico.,Frangelico,Crown Royal,,,,,,,,,,,,,,1 part ,1 part , , , , , ,,,,,,,,
432,Royal Fizz,True,http://www.thecocktaildb.com/images/media/drink/wrh44j1504390609.jpg,Collins glass,Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.,Gin,Sweet and sour,Egg,Coca-Cola,,,,,,,,,,,,1 oz ,2 oz ,1 whole ,"
","
","
","
","
","
",,,,,,
433,Royal Flush,True,http://www.thecocktaildb.com/images/media/drink/7rnm8u1504888527.jpg,Old-fashioned glass,Pour all the ingredients into tumbler over ice. Strain into glass.,Crown Royal,Peach schnapps,Chambord raspberry liqueur,Cranberry juice,,,,,,,,,,,,1 1/2 oz ,1 oz ,1/2 oz ,1 oz , , , , , ,,,,,,
434,Royal Gin Fizz,True,http://www.thecocktaildb.com/images/media/drink/pe1x1c1504735672.jpg,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Gin,Lemon,Powdered sugar,Egg,Carbonated water,,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,1 whole ,"
","
","
","
","
","
",,,,,
435,Ruby Tuesday,True,http://www.thecocktaildb.com/images/media/drink/qsyqqq1441553437.jpg,Highball glass,Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.,Gin,Cranberry juice,Grenadine,,,,,,,,,,,,,2 oz ,5 oz ,2 splashes , , , , , ,,,,,,,
436,Rum Cobbler,True,http://www.thecocktaildb.com/images/media/drink/5vh9ld1504390683.jpg,Old-fashioned glass,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices.",Sugar,Club soda,Lemon,Dark rum,Maraschino cherry,Orange,,,,,,,,,,1 tsp superfine ,3 oz ,1 ,2 oz ,1 ,1 , , , , , ,,,,
437,Rum Cooler,True,http://www.thecocktaildb.com/images/media/drink/2hgwsb1504888674.jpg,Collins glass,Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.,Rum,Lemon-lime soda,Lemon,,,,,,,,,,,,,2 oz light or dark ,4 oz ,1 , , , , , ,,,,,,,
438,Rum Milk Punch,True,http://www.thecocktaildb.com/images/media/drink/w64lqm1504888810.jpg,Collins glass,Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.,Light rum,Milk,Powdered sugar,Nutmeg,,,,,,,,,,,,2 oz ,1 cup ,1 tsp ,"
","
","
","
","
","
",,,,,,
439,Rum Old-fashioned,True,http://www.thecocktaildb.com/images/media/drink/otn2011504820649.jpg,Old-fashioned glass,"Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve.",Light rum,151 proof rum,Powdered sugar,Bitters,Water,Lime peel,,,,,,,,,,1 1/2 oz ,1 tsp ,1/2 tsp ,1 dash ,1 tsp ,Twist of , , , , , ,,,,
440,Rum Punch,True,http://www.thecocktaildb.com/images/media/drink/wyrsxu1441554538.jpg,Punch bowl,Mix all ingredients in a punch bowl and serve.,Rum,Ginger ale,Fruit punch,Orange juice,Ice,,,,,,,,,,,mikey bottle ,large bottle ,355 ml frozen ,355 ml frozen ,crushed , , , , , ,,,,,
441,Rum Runner,True,http://www.thecocktaildb.com/images/media/drink/vqws6t1504888857.jpg,Cocktail glass,Mix all ingredients in glass & add ice.,Malibu rum,Blackberry brandy,Orange juice,Pineapple juice,Cranberry juice,,,,,,,,,,,1 1/2 oz ,1 oz ,3-4 oz ,3-4 oz ,3-4 oz , , , , , ,,,,,
442,Rum Screwdriver,True,http://www.thecocktaildb.com/images/media/drink/pwl7v81504886372.jpg,Highball glass,"Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve.",Light rum,Orange juice,,,,,,,,,,,,,,1 1/2 oz ,5 oz , , , , , ,,,,,,,,
443,Rum Sour,True,http://www.thecocktaildb.com/images/media/drink/bylfi21504886323.jpg,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",Light rum,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,,,,,,,2 oz ,1 oz ,1/2 tsp superfine ,1 ,1 , , , , , ,,,,,
444,Rum Toddy,True,http://www.thecocktaildb.com/images/media/drink/athdk71504886286.jpg,Old-fashioned glass,Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.,Rum,Powdered sugar,Lemon peel,Water,,,,,,,,,,,,2 oz light or dark ,2 tsp ,1 twist of ,2 tsp , , , , , ,,,,,,
445,Russian Spring Punch,True,http://www.thecocktaildb.com/images/media/drink/ctt20s1504373488.jpg,Highball glass,"Pour the ingredients into an highball glass, top with Sparkling wine.",Vodka,Creme de Cassis,Sugar Syrup,Lemon Juice,,,,,,,,,,,,2.5 cl,1.5 cl,1 cl,2.5 cl,, , ,,,,,,,,
446,Rusty Nail,True,http://www.thecocktaildb.com/images/media/drink/yqsvtw1478252982.jpg,Old-fashioned glass,Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,Scotch,Drambuie,Lemon peel,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1 twist of , , , , , ,,,,,,,
447,Salty Dog,True,http://www.thecocktaildb.com/images/media/drink/4vfge01504890216.jpg,Highball glass,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)",Grapefruit juice,Gin,Salt,,,,,,,,,,,,,5 oz ,1 1/2 oz ,1/4 tsp , , , , , ,,,,,,,
448,San Francisco,True,http://www.thecocktaildb.com/images/media/drink/szmj2d1504889961.jpg,Highball glass,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",Vodka,Creme de Banane,Grenadine,Orange juice,,,,,,,,,,,,2 cl ,2 cl ,"
", , , , , ,,,,,,,
449,Sangria #1,True,http://www.thecocktaildb.com/images/media/drink/xrvxpp1441249280.jpg,Pitcher,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.,Red wine,Sugar,Orange juice,Lemon juice,Cloves,Cinnamon,,,,,,,,,,1 bottle ,1/2 cup ,1 cup ,1 cup ,"
", , , , , ,,,,,
450,Sangria - The World's Best,True,http://www.thecocktaildb.com/images/media/drink/vysywu1468924264.jpg,Pitcher,"Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses.",Red wine,Sugar,Lemon,Orange,Apple,Brandy,Soda water,,,,,,,,,1 1/2 L ,1 cup ,1 large ,1 large ,1 large ,3-4 oz plain ,"
","
","
","
","
","
",,,
451,Sazerac,True,http://www.thecocktaildb.com/images/media/drink/vvpxwy1439907208.jpg,Old-fashioned glass,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",Ricard,Sugar,Peychaud bitters,Water,Bourbon,Lemon peel,,,,,,,,,,1 tsp ,1/2 tsp superfine ,2 dashes ,1 tsp ,2 oz ,1 twist of , , , , , ,,,,
452,Scooter,True,http://www.thecocktaildb.com/images/media/drink/twuptu1483388307.jpg,Cocktail glass,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.",Brandy,Amaretto,Light cream,,,,,,,,,,,,,1 oz ,1 oz ,1 oz , , , , , ,,,,,,,
453,Scotch Cobbler,True,http://www.thecocktaildb.com/images/media/drink/1q7coh1504736227.jpg,Old-fashioned glass,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.",Scotch,Brandy,Curacao,Orange,Mint,,,,,,,,,,,2 oz ,4 dashes ,4 dashes ,1 slice ,1 , , , , , ,,,,,
454,Scotch Sour,True,http://www.thecocktaildb.com/images/media/drink/0dnb6k1504890436.jpg,Whiskey sour glass,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve.",Scotch,Lime,Powdered sugar,Lemon,Cherry,,,,,,,,,,,1 1/2 oz ,Juice of 1/2 ,1/2 tsp ,1/2 slice ,1 , , , , , ,,,,,
455,Scottish Highland Liqueur,True,http://www.thecocktaildb.com/images/media/drink/upqvvp1441253441.jpg,Collins Glass,"Combine all ingreds in aging container. Cover tightly and shake gently several times during the first 24 hrs. After 24 hrs, remove the lemon zest. Cover again and let stand in a cool, dark place for 2 weeks, shaking gently every other day. Strain through a wire sieve to remove the angelica root and fennel. Return to aging container, cover and let stand undisturbed in a cool dark place for 6 months. Siphon or pour clear liqueur into a sterile bottle. The cloudy dregs may be saved for cooking.",Johnnie Walker,Honey,Angelica root,Fennel seeds,Lemon peel,,,,,,,,,,,1 fifth ,1 1/2 cup mild ,2 tsp dried and chopped ,1/4 tsp crushed ,2 2 inch strips , , , , , ,,,,,
456,Screaming Orgasm,True,http://www.thecocktaildb.com/images/media/drink/x894cs1504388670.jpg,Cocktail glass,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first.",Vodka,Bailey's irish cream,Kahlua,,,,,,,,,,,,,1 oz ,1 1/2 oz ,1/2 oz , , , , , ,,,,,,,
457,Screwdriver,True,http://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg,Highball glass,Mix in a highball glass with ice. Garnish and serve.,Vodka,Orange juice,,,,,,,,,,,,,,2 oz ,,,,,,,,,,,,,,
458,Sea breeze,True,http://www.thecocktaildb.com/images/media/drink/7rfuks1504371562.jpg,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,Vodka,Cranberry juice,Grapefruit juice,,,,,,,,,,,,,1 1/2 oz ,4 oz ,1 oz , , , , , ,,,,,,,
459,Sex on the Beach,True,http://www.thecocktaildb.com/images/media/drink/twsvwr1469092365.jpg,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,Vodka,Peach schnapps,Cranberry juice,Grapefruit juice,,,,,,,,,,,,1 oz ,3/4 oz ,, , , , , ,,,,,,,
460,Shanghai Cocktail,True,http://www.thecocktaildb.com/images/media/drink/ttyrxr1478820678.jpg,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Light rum,Anisette,Grenadine,Lemon,,,,,,,,,,,,1 oz Jamaican ,1 tsp ,1/2 tsp ,Juice of 1/4 , , , , , ,,,,,,
461,Shark Attack,True,http://www.thecocktaildb.com/images/media/drink/uv96zr1504793256.jpg,Pitcher,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,Lemonade,Water,Vodka,,,,,,,,,,,,,1 can ,3 cans ,1 1/2 cup , , , , , ,,,,,,,
462,Sherry Eggnog,True,http://www.thecocktaildb.com/images/media/drink/xwrpsv1478820541.jpg,Collins glass,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",Sherry,Powdered sugar,Egg,Milk,Nutmeg,,,,,,,,,,,2 oz cream ,1 tsp ,1 whole ,"
", , , , , ,,,,,,
463,Sherry Flip,True,http://www.thecocktaildb.com/images/media/drink/qrryvq1478820428.jpg,Whiskey sour glass,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,Sherry,Light cream,Powdered sugar,Egg,Nutmeg,,,,,,,,,,,1 1/2 oz cream ,2 tsp ,1 tsp ,1 whole ,"
","
","
","
","
","
",,,,,
464,Shot-gun,True,http://www.thecocktaildb.com/images/media/drink/2j1m881503563583.jpg,Shot glass,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.,Jim Beam,Jack Daniels,Wild Turkey,,,,,,,,,,,,,1 part ,1 part ,1 oz , , , , , ,,,,,,,
465,Sidecar,True,http://www.thecocktaildb.com/images/media/drink/stwxuq1439906852.jpg,Cocktail glass,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,Cognac,Cointreau,Lemon juice,,,,,,,,,,,,,2 oz ,1/2 oz ,1 oz , , , , , ,,,,,,,
466,Sidecar Cocktail,True,http://www.thecocktaildb.com/images/media/drink/ewjxui1504820428.jpg,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Brandy,Triple sec,Lemon,,,,,,,,,,,,,1 oz ,1/2 oz ,Juice of 1/4 , , , , , ,,,,,,,
467,Singapore Sling,True,http://www.thecocktaildb.com/images/media/drink/tvtrrt1439906288.jpg,Hurricane glass,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,Cherry brandy,Grenadine,Gin,Sweet and sour,Carbonated water,Cherry,,,,,,,,,,1/2 oz ,1/2 oz ,1 oz ,2 oz ,,,,,,,,,,,
468,Sloe Gin Cocktail,True,http://www.thecocktaildb.com/images/media/drink/d7mo481504889531.jpg,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Sloe gin,Dry Vermouth,Orange bitters,,,,,,,,,,,,,2 oz ,1/4 tsp ,1 dash , , , , , ,,,,,,,
469,Smut,True,http://www.thecocktaildb.com/images/media/drink/rx8k8e1504365812.jpg,Beer mug,Throw it all together and serve real cold.,Red wine,Peach schnapps,Pepsi Cola,Orange juice,,,,,,,,,,,,1/3 part ,1 shot ,1/3 part ,1/3 part , , , , , ,,,,,,
470,Snake Bite (UK),True,http://www.thecocktaildb.com/images/media/drink/xuwpyu1441248734.jpg,Pint glass,Pour ingredients into a pint glass. Drink. Fall over.,Lager,Cider,,,,,,,,,,,,,,1/2 pint ,1/2 pint sweet or dry , , , , , ,,,,,,,,
471,Snakebite and Black,True,http://www.thecocktaildb.com/images/media/drink/rssvwv1441248863.jpg,Pint glass,Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.,Lager,Cider,Blackcurrant squash,,,,,,,,,,,,,1/2 pint ,1/2 pint ,A little bit of , , , , , ,,,,,,,
472,Snowball,True,http://www.thecocktaildb.com/images/media/drink/7ibfs61504735416.jpg,Highball glass,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.,Advocaat,Lemonade,Lemon,Ice,,,,,,,,,,,,1 1/2 oz ,8-10 oz cold ,1 slice ," cubes
","
","
","
","
","
",,,,,,
473,Sol Y Sombra,True,http://www.thecocktaildb.com/images/media/drink/3gz2vw1503425983.jpg,Brandy snifter,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)",Brandy,Anisette,,,,,,,,,,,,,,1 1/2 oz ,1 1/2 oz , , , , , ,,,,,,,,
474,Space Odyssey,True,http://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg,Highball glass,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,151 proof rum,Malibu rum,Pineapple juice,Orange juice,Grenadine,Cherries,,,,,,,,,,1 shot Bacardi ,1 shot ,1 shot ,"
","
", , , , , ,,,,,
475,Spanish chocolate,False,http://www.thecocktaildb.com/images/media/drink/pra8vt1487603054.jpg,Coffee mug,"Stir the milk with the chocolate and the cinnamon over low heat until the chocolate dissolves. Add the eggs and beat the mixture until it becomes thick, taking care not to boil. Serve in coffee mug.",Milk,Chocolate,Cinnamon,Egg yolk,,,,,,,,,,,,2 cups ,2 oz sweet ,1/2 tsp ,2 beaten , , , , , ,,,,,,
476,Spiced Peach Punch,False,http://www.thecocktaildb.com/images/media/drink/qxvypq1468924331.jpg,Collins Glass,"Combine peach nectar, orange juice and brown sugar in a large saucepan. Tie cinnamon and cloves in a small cheesecloth bag. Drop into saucepan. Heat slowly, stirring constantly, until sugar dissolves. Simmer 10 minutes. Stir in lime juice. Serve in hot mugs.",Peach nectar,Orange juice,Brown sugar,Cinnamon,Cloves,Lime juice,,,,,,,,,,46 oz ,20 oz ,1/2 cup ,3 3-inch ,1/2 tsp ,2 tblsp , , , , , ,,,,
477,Spiking coffee,False,http://www.thecocktaildb.com/images/media/drink/isql6y1487602375.jpg,Coffee mug,"Incidentally, a pinch of cinnamon is indeed a nice addition to coffee but true heaven is a cardamom seed. Of course, you serve it in a coffee mug.",Coffee,Cinnamon,,,,,,,,,,,,,,"
", , , , , ,,,,,,,,,
478,Spritz,True,http://www.thecocktaildb.com/images/media/drink/j9evx11504373665.jpg,Old-Fashioned glass,"Build into glass over ice, garnish and serve.",Prosecco,Campari,Soda Water,,,,,,,,,,,,,6 cl,4 cl,splash,,, , ,,,,,,,,
479,Stinger,True,http://www.thecocktaildb.com/images/media/drink/2ahv791504352433.jpg,Cocktail glass,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.",Brandy,White Creme de Menthe,,,,,,,,,,,,,,1 1/2 oz ,1/2 oz , , , , , ,,,,,,,,
480,Stone Sour,True,http://www.thecocktaildb.com/images/media/drink/vruvtp1472719895.jpg,Whiskey sour glass,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.",Apricot brandy,Orange juice,Sweet and sour,,,,,,,,,,,,,1 oz ,1 oz ,1 oz , , , , , ,,,,,,,
481,Strawberry Daiquiri,True,http://www.thecocktaildb.com/images/media/drink/deu59m1504736135.jpg,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,Strawberry schnapps,Light rum,Lime juice,Powdered sugar,Strawberries,,,,,,,,,,,1/2 oz ,1 oz ,1 oz ,1 tsp ,1 oz , , , , , ,,,,,
482,Strawberry Lemonade,False,http://www.thecocktaildb.com/images/media/drink/spvvxp1468924425.jpg,Collins Glass,Throw everything into a blender and mix until fairly smooth. Serve over ice.,Lemon,Sugar,Strawberries,Water,,,,,,,,,,,,Juice of 1 ,1 tblsp ,8-10 ripe ,1 cup , , , , , ,,,,,,
483,Strawberry Margarita,True,http://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg,Cocktail glass,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.",Strawberry schnapps,Tequila,Triple sec,Lemon juice,Strawberries,Salt,,,,,,,,,,1/2 oz ,1 oz ,1/2 oz ,1 oz ,1 oz ,"
","
","
","
","
","
",,,,
484,Strawberry Shivers,False,http://www.thecocktaildb.com/images/media/drink/9h1vvt1487603404.jpg,Highball glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",Strawberries,Honey,Water,,,,,,,,,,,,,1 1/2 cup ,4 tsp ,1/2 cup , , , , , ,,,,,,,
485,Sunny Holiday Punch,False,http://www.thecocktaildb.com/images/media/drink/rywtwy1468924758.jpg,Punch bowl,Combine all ingredients in a punch bowl.,Pineapple juice,Club soda,Orange juice,Lemon,Berries,Champagne,,,,,,,,,,46 oz chilled ,28 oz ,6 oz frozen ,1 ,2 cups ,1 bottle , , , , , ,,,,
486,Surf City Lifesaver,True,http://www.thecocktaildb.com/images/media/drink/2rzfer1487602699.jpg,Highball glass,Lots of ice and soda top up in tall glass with cherry and a grin.,Ouzo,Bailey's irish cream,Gin,Grand Marnier,,,,,,,,,,,,1 part ,1 part ,2 parts ,1/2 part , , , , , ,,,,,,
